threshold,precision,recall,f1,cost
0.05,0.509090909090909,1.0,0.6746987951807228,27.0
0.055,0.5384615384615384,1.0,0.7,24.0
0.06,0.56,1.0,0.717948717948718,22.0
0.065,0.5714285714285714,1.0,0.7272727272727273,21.0
0.07,0.5833333333333334,1.0,0.7368421052631579,20.0
0.075,0.5833333333333334,1.0,0.7368421052631579,20.0
0.08,0.5833333333333334,1.0,0.7368421052631579,20.0
0.08499999999999999,0.5957446808510638,1.0,0.7466666666666667,19.0
0.09,0.5957446808510638,1.0,0.7466666666666667,19.0
0.095,0.6222222222222222,1.0,0.7671232876712328,17.0
0.09999999999999999,0.6222222222222222,1.0,0.7671232876712328,17.0
0.105,0.6222222222222222,1.0,0.7671232876712328,17.0
0.10999999999999999,0.6222222222222222,1.0,0.7671232876712328,17.0
0.11499999999999999,0.6222222222222222,1.0,0.7671232876712328,17.0
0.12,0.6363636363636364,1.0,0.7777777777777778,16.0
0.12499999999999999,0.6363636363636364,1.0,0.7777777777777778,16.0
0.13,0.6363636363636364,1.0,0.7777777777777778,16.0
0.135,0.6363636363636364,1.0,0.7777777777777778,16.0
0.13999999999999999,0.6363636363636364,1.0,0.7777777777777778,16.0
0.145,0.6363636363636364,1.0,0.7777777777777778,16.0
0.14999999999999997,0.6511627906976745,1.0,0.7887323943661971,15.0
0.15499999999999997,0.6511627906976745,1.0,0.7887323943661971,15.0
0.15999999999999998,0.6511627906976745,1.0,0.7887323943661971,15.0
0.16499999999999998,0.6511627906976745,1.0,0.7887323943661971,15.0
0.16999999999999998,0.6511627906976745,1.0,0.7887323943661971,15.0
0.175,0.6511627906976745,1.0,0.7887323943661971,15.0
0.18,0.6511627906976745,1.0,0.7887323943661971,15.0
0.185,0.6511627906976745,1.0,0.7887323943661971,15.0
0.19,0.6511627906976745,1.0,0.7887323943661971,15.0
0.195,0.6511627906976745,1.0,0.7887323943661971,15.0
0.19999999999999996,0.6829268292682927,1.0,0.8115942028985508,13.0
0.20499999999999996,0.6829268292682927,1.0,0.8115942028985508,13.0
0.20999999999999996,0.6829268292682927,1.0,0.8115942028985508,13.0
0.21499999999999997,0.6829268292682927,1.0,0.8115942028985508,13.0
0.21999999999999997,0.6829268292682927,1.0,0.8115942028985508,13.0
0.22499999999999998,0.7,1.0,0.8235294117647058,12.0
0.22999999999999998,0.7,1.0,0.8235294117647058,12.0
0.235,0.7,1.0,0.8235294117647058,12.0
0.24,0.717948717948718,1.0,0.835820895522388,11.0
0.245,0.717948717948718,1.0,0.835820895522388,11.0
0.24999999999999994,0.717948717948718,1.0,0.835820895522388,11.0
0.25499999999999995,0.717948717948718,1.0,0.835820895522388,11.0
0.25999999999999995,0.717948717948718,1.0,0.835820895522388,11.0
0.26499999999999996,0.717948717948718,1.0,0.835820895522388,11.0
0.26999999999999996,0.717948717948718,1.0,0.835820895522388,11.0
0.27499999999999997,0.717948717948718,1.0,0.835820895522388,11.0
0.27999999999999997,0.717948717948718,1.0,0.835820895522388,11.0
0.285,0.717948717948718,1.0,0.835820895522388,11.0
0.29,0.717948717948718,1.0,0.835820895522388,11.0
0.295,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.3,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.30499999999999994,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.30999999999999994,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.31499999999999995,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.31999999999999995,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.32499999999999996,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
0.32999999999999996,0.7105263157894737,0.9642857142857143,0.8181818181818182,16.0
